review_text,clean_text_v2,sentiment,cluster12,cluster_label
Loved it.. easy tracking.. detailed statistics.. Thank you for this ..,loved it easy tracking detailed statistics thank you for this,Positive,3,Ease of use
"It s a nice app. Keeps you focused. But i have a suggestion: It would be nice to make the forest ground different like with snow, with rain, etc. And as well it would be cool to be able to rearrange the trees how you like them to be. Please try making this happen ^^",it s a nice app keeps you focused but i have a suggestion it would be nice to make the forest ground different like with snow with rain etc and as well it would be cool to be able to rearrange the trees how you like them to be please try making this happen,Positive,7,App stability & updates
google calander doesnt synchronise.,google calander doesnt synchronise,Negative,9,Sync & login issues
"I've been using your app for awhile now & love it, but for the 1st time today everything I did since last night is not there & I do a lot of personal & work things. Can you please help me with this problem?",i ve been using your app for awhile now love it but for the st time today everything i did since last night is not there i do a lot of personal work things can you please help me with this problem,Positive,9,Sync & login issues
"I have a built in calendar in my phone which i use for personal use. Then i downloaded this app which i wanna use for business purposes. But whenever i add an event, it will linked to my personal calendar. How can I separate the event, only in my business calendar? I dont wanna mix all together",i have a built in calendar in my phone which i use for personal use then i downloaded this app which i wanna use for business purposes but whenever i add an event it will linked to my personal calendar how can i separate the event only in my business calendar i dont wanna mix all together,Positive,10,Calendar integration
Great App. Changing my Life,great app changing my life,Positive,2,General positive
Problem with the notification. Can't complete task from notification. Keep showing till I mark task as finished that too by opening the app.,problem with the notification can t complete task from notification keep showing till i mark task as finished that too by opening the app,Neutral,4,Reminders & notifications
Awesome app. I am enjoying its simplicity and effectiveness.,awesome app i am enjoying its simplicity and effectiveness,Positive,2,General positive
Too complicated and not well organized,too complicated and not well organized,Negative,3,Ease of use
"I used a Franklin Planner, this is a great alternative to going the digital route. This is used daily for me in taking notes troughout the day and setting up tasks that need completed.",i used a franklin planner this is a great alternative to going the digital route this is used daily for me in taking notes troughout the day and setting up tasks that need completed,Positive,5,Habit tracking
"Changes in app function have resulted in consistent missed tasks and ""support"" provides condescending replies regarding the issue.",changes in app function have resulted in consistent missed tasks and support provides condescending replies regarding the issue,Negative,0,Task management
No dark mode for widget,no dark mode for widget,Negative,11,Widget issues
Integrates Google Tasks in calendar,integrates google tasks in calendar,Positive,10,Calendar integration
"Works as described, but not very intuitive. There's plenty of choices for storing and organizing tasks and I'm still trying to decide which options work best for me.",works as described but not very intuitive there s plenty of choices for storing and organizing tasks and i m still trying to decide which options work best for me,Positive,0,Task management
"Can't clean up old Alexa lists! We use this purely for the Alexa shopping list integration. However, early on it was very buggy, so we had to relink our Alexa account a number of times. And now we have like 4 or 5 old ""Alexa shopping list""s that we cannot delete! ""Alexa lists can not be modified with Any.do. You can do it from the Alexa app""... No, I can not, because it only deletes the working one!",can t clean up old alexa lists we use this purely for the alexa shopping list integration however early on it was very buggy so we had to relink our alexa account a number of times and now we have like or old alexa shopping list s that we cannot delete alexa lists can not be modified with any do you can do it from the alexa app no i can not because it only deletes the working one,Negative,0,Task management
Nothing more than a simple to do list without any decent widgets. Nobody wants to open the app every time they want to create a new task or check something they already did,nothing more than a simple to do list without any decent widgets nobody wants to open the app every time they want to create a new task or check something they already did,Negative,8,General task/app praise
Really helps me get stuff done and on time...,really helps me get stuff done and on time,Positive,5,Habit tracking
Beautiful and detailed app! There are two features that would make it more useful: 1) a counter to keep track of quantity (example: alcohol drinks); 2) a limit which causes a fail if you go over (example: limit 14 drinks in a week or 2 per day),beautiful and detailed app there are two features that would make it more useful a counter to keep track of quantity example alcohol drinks a limit which causes a fail if you go over example limit drinks in a week or per day,Positive,8,General task/app praise
"This app will send spam everyday, even when you block them.",this app will send spam everyday even when you block them,Negative,7,App stability & updates
No longer syncs properly with Google calendar,no longer syncs properly with google calendar,Negative,10,Calendar integration
my data is now disappearing frequently or often is suddenly double or triple in my calendar,my data is now disappearing frequently or often is suddenly double or triple in my calendar,Negative,10,Calendar integration
why do email ID and password Aap email id qu magate ho eese aapako kayaa 👎👎,why do email id and password aap email id qu magate ho eese aapako kayaa,Negative,3,Ease of use
Amazing app pretty good to remember you what you should do :3,amazing app pretty good to remember you what you should do,Positive,8,General task/app praise
We need it,we need it,Positive,3,Ease of use
"I like this app. It's just that whenever I enter something in my calendar, it would not sink right away.",i like this app it s just that whenever i enter something in my calendar it would not sink right away,Negative,10,Calendar integration
"App has a lot of features, unfortunatelly many not free of charge",app has a lot of features unfortunatelly many not free of charge,Neutral,2,General positive
cool idea. woupd be good if it could access my outlook calendar,cool idea woupd be good if it could access my outlook calendar,Neutral,10,Calendar integration
can anyone tell me how to use this app?,can anyone tell me how to use this app,Negative,2,General positive
"This is update on 22 Feb 2020 I don't know what happened to the app, but it now annoys me every second time i open it, with some ridiculous animated games, which hijack the whole phone for about 30 seconds, and then goes to Google Play, asking to download the idiotic game. Not sure if it's the app itself, or if it's been hacked. In either case I AM UNINSTALLING THIS! ========= Excellent app, I've been using it for many years now, since its predecessor..... all good with app :-)",this is update on feb i don t know what happened to the app but it now annoys me every second time i open it with some ridiculous animated games which hijack the whole phone for about seconds and then goes to google play asking to download the idiotic game not sure if it s the app itself or if it s been hacked in either case i am uninstalling this excellent app i ve been using it for many years now since its predecessor all good with app,Negative,7,App stability & updates
This app is amazing I'm having fun just setting up that being said an optional progress bar for tasks would be really helpful,this app is amazing i m having fun just setting up that being said an optional progress bar for tasks would be really helpful,Positive,8,General task/app praise
Best hai ji,best hai ji,Positive,3,Ease of use
Serviceable but not awesome by any means. I've spent enough time trying to set up tasks in here that I feel like I can't bail even though I don't love it. It's really tricky to figure out how to make tasks show up like I want and have only been able to really get things set up right by using the website in addition to the app. Nothing is intuitive or easy to figure out in this app.,serviceable but not awesome by any means i ve spent enough time trying to set up tasks in here that i feel like i can t bail even though i don t love it it s really tricky to figure out how to make tasks show up like i want and have only been able to really get things set up right by using the website in addition to the app nothing is intuitive or easy to figure out in this app,Negative,8,General task/app praise
I'm loving it 😁,i m loving it,Positive,3,Ease of use
Exactly what I was looking for. This app really helps me keep track of my habits and it super user friendly. Love it!,exactly what i was looking for this app really helps me keep track of my habits and it super user friendly love it,Positive,8,General task/app praise
Wish it had a little more options but still great and easy app,wish it had a little more options but still great and easy app,Positive,2,General positive
I really tried to like the update. But it seems confusing. I'm not sure what was wrong with the way it was before but now I don't understand how it works.,i really tried to like the update but it seems confusing i m not sure what was wrong with the way it was before but now i don t understand how it works,Negative,9,Sync & login issues
Achievements should have reward options such as exp/gold.   Otherwise it is a neat app.,achievements should have reward options such as exp gold otherwise it is a neat app,Positive,8,General task/app praise
"You have to pay for some advanced thing, you have a limited space to type stuff in for reminders. Just not for me",you have to pay for some advanced thing you have a limited space to type stuff in for reminders just not for me,Negative,4,Reminders & notifications
"Good program, but the ads are becoming *super* intrusive. Been using for years, but I'm considering changing to something else. Edit to dev response: The ads are *not* skippable Edit #2: no, they are not, until you sit through them. Taking off a star for lying developer.",good program but the ads are becoming super intrusive been using for years but i m considering changing to something else edit to dev response the ads are not skippable edit no they are not until you sit through them taking off a star for lying developer,Negative,6,Ads friction
"I would like to buy the program, but I do wish to use a different address.",i would like to buy the program but i do wish to use a different address,Positive,1,Premium / paywall friction
"Nice. Will be better if app has got inhabit counter.. for example count of pushups or exercise. I need it, but app is very nice. I will be recommend it.",nice will be better if app has got inhabit counter for example count of pushups or exercise i need it but app is very nice i will be recommend it,Positive,8,General task/app praise
I love the layout and different features. Two things that I would love changed or added are: 1. The ability to either edit a routine for a singular day or to clear a routine from a singular day (like when I have an atypical day and can't follow my regular routine); and 2. The ability to see the overlap in events/routines if two different things occur at the same time.,i love the layout and different features two things that i would love changed or added are the ability to either edit a routine for a singular day or to clear a routine from a singular day like when i have an atypical day and can t follow my regular routine and the ability to see the overlap in events routines if two different things occur at the same time,Neutral,5,Habit tracking
Update: They are slow but they update and sync slowly. Overall very good app. Very buggy with time. The times are off. I think it's a sync issue with google calendar. It doesn't work even after fixing sync issues.,update they are slow but they update and sync slowly overall very good app very buggy with time the times are off i think it s a sync issue with google calendar it doesn t work even after fixing sync issues,Positive,10,Calendar integration
"I need help, party and guild is buggy for me. Only a blank page is displayed if i open that. Pls fix this",i need help party and guild is buggy for me only a blank page is displayed if i open that pls fix this,Neutral,9,Sync & login issues
Love it so far. Wish it had a widget for Android though.,love it so far wish it had a widget for android though,Neutral,11,Widget issues
"Fab list app, be even better if you could sort steps of a task, so incomplete steps are listed first. Thanks!",fab list app be even better if you could sort steps of a task so incomplete steps are listed first thanks,Positive,0,Task management
"Too complicated, wanted to use to strategize for my exam but it was to difficult to add a task.",too complicated wanted to use to strategize for my exam but it was to difficult to add a task,Negative,0,Task management
So far this app has been very helpful. I will be trying out the premium version very soon. Once I do I will update this review.,so far this app has been very helpful i will be trying out the premium version very soon once i do i will update this review,Positive,7,App stability & updates
Does everything I need to do with a calendar.,does everything i need to do with a calendar,Positive,10,Calendar integration
"It's a really good app, it help me manage my time better and know what I'm meant to be doing per time = more productivity. Only downside I've noticed is if you set a recurring task(let's say everyday 'egg' comes up) and you don't mark it as complete, the next time 'egg' comes up and you do it, you can't mark it as complete so you have to find the place where you didn't do 'egg' and mark it as complete to mark today's own as complete as well Maybe there's something to curb this, I don't know yet",it s a really good app it help me manage my time better and know what i m meant to be doing per time more productivity only downside i ve noticed is if you set a recurring task let s say everyday egg comes up and you don t mark it as complete the next time egg comes up and you do it you can t mark it as complete so you have to find the place where you didn t do egg and mark it as complete to mark today s own as complete as well maybe there s something to curb this i don t know yet,Positive,8,General task/app praise
An awesome app,an awesome app,Positive,2,General positive
Notifications only come up when you come app,notifications only come up when you come app,Negative,4,Reminders & notifications
Don't use this unless you sync your tasks. The backup and restore functionality from one device to the next is bad.,don t use this unless you sync your tasks the backup and restore functionality from one device to the next is bad,Negative,0,Task management
No android wear app,no android wear app,Negative,7,App stability & updates
This is the first time I'm sticking with a to-do list kind of app. So far so good,this is the first time i m sticking with a to do list kind of app so far so good,Positive,8,General task/app praise
"This app was very benificial at first. But after you added almost every tree in premium version, I lost my interest. Even after the update, new tree added is not free. This is sickening.",this app was very benificial at first but after you added almost every tree in premium version i lost my interest even after the update new tree added is not free this is sickening,Negative,1,Premium / paywall friction
"Using Google Pixel 2 and paid for full version...sometimes the day on the calendar doesn't update. I dont want to have to restart my phone everday. A workaround would be to press the refresh button on the calendar, but i dont like having to do that every day.",using google pixel and paid for full version sometimes the day on the calendar doesn t update i dont want to have to restart my phone everday a workaround would be to press the refresh button on the calendar but i dont like having to do that every day,Negative,10,Calendar integration
"A fantastic and helpful app became useless with the last update. Grouping open and completed tasks may be helpful for some, but for some types of lists it would be really handy to have all tasks together. For example a picking list (or shopping list) with the items sorted in order of their position in the warehouse. You do not need everything every time, so you can just uncheck the items when needed during a round, possibly hiding the completed tasks to minimize screen cluttering. This was possible before, but with the recent update(s) all completed tasks have moved to a separate list. All custom sorting is lost. Dear Microsoft, please re enable these features. You could provide an option in settings to use one or the other. (Maybe even on a list level) 2 stars because it used to be a good app, otherwise I would have now given it only 1 star.",a fantastic and helpful app became useless with the last update grouping open and completed tasks may be helpful for some but for some types of lists it would be really handy to have all tasks together for example a picking list or shopping list with the items sorted in order of their position in the warehouse you do not need everything every time so you can just uncheck the items when needed during a round possibly hiding the completed tasks to minimize screen cluttering this was possible before but with the recent update s all completed tasks have moved to a separate list all custom sorting is lost dear microsoft please re enable these features you could provide an option in settings to use one or the other maybe even on a list level stars because it used to be a good app otherwise i would have now given it only star,Negative,0,Task management
Nope not a good app I can't log in it I'll find a better app,nope not a good app i can t log in it i ll find a better app,Negative,7,App stability & updates
This is wonderful and it's only $5 (one time) to get the premium version.,this is wonderful and it s only one time to get the premium version,Positive,1,Premium / paywall friction
It is useless. Even after planting the tree app does not stop me.,it is useless even after planting the tree app does not stop me,Negative,7,App stability & updates
Dates are wrong!!,dates are wrong,Negative,10,Calendar integration
Useful with good UI,useful with good ui,Positive,3,Ease of use
"Worked until I upgraded to premium. Now I can't change my user name, can't write comments or add discussions. It's not syncing to my phone. Please fixs it's been less than 24hrs since I upgraded.",worked until i upgraded to premium now i can t change my user name can t write comments or add discussions it s not syncing to my phone please fixs it s been less than hrs since i upgraded,Negative,9,Sync & login issues
What is this - NEXT ALARM (SYSYEM UPDATE)???,what is this next alarm sysyem update,Neutral,4,Reminders & notifications
(Sep 2013) took almost 1 year for decent reminders. Is still annoying to click twice to view the notes. Not very productive! (Oct 2019) with new interface the notes disappeared. The interface is just a copy of Wunderlist or TickTick. What is the point of paying a subscription when the competition offers the same functionality (reminders and notes) for nothing?,sep took almost year for decent reminders is still annoying to click twice to view the notes not very productive oct with new interface the notes disappeared the interface is just a copy of wunderlist or ticktick what is the point of paying a subscription when the competition offers the same functionality reminders and notes for nothing,Negative,4,Reminders & notifications
It٬s one of the best liferpg apps i have ever seen with lot of options but it can have some more beautiful transparent widgets and if you add an option that a task directly influences a characteristics it can be more comfortable,it s one of the best liferpg apps i have ever seen with lot of options but it can have some more beautiful transparent widgets and if you add an option that a task directly influences a characteristics it can be more comfortable,Positive,8,General task/app praise
"Been great for years. The ads are really annoying. They are long video ones that pop up every single time you add an event. Laughably the response is 'it's only every 18 hours'. Guess how often casual calendar users use the app? I wouldn't mind if it was a short add or i had to watch a video to unlock more actions, but the current cx is super annoying.",been great for years the ads are really annoying they are long video ones that pop up every single time you add an event laughably the response is it s only every hours guess how often casual calendar users use the app i wouldn t mind if it was a short add or i had to watch a video to unlock more actions but the current cx is super annoying,Negative,6,Ads friction
"Useful and very nice apps, I bought premium, 5 stars when can backup with gdrive😁",useful and very nice apps i bought premium stars when can backup with gdrive,Positive,2,General positive
"I bought this because it has a really design and features, but I to uninstall it because it's slow loading. It's lagging.",i bought this because it has a really design and features but i to uninstall it because it s slow loading it s lagging,Neutral,7,App stability & updates
"Monthly payments for a todo app? Not gonna happen, thank you.",monthly payments for a todo app not gonna happen thank you,Negative,1,Premium / paywall friction
"Using the free version and it's easy, intuitive, and highly flexible...It reflects just what I want to track for five different tasks each week (from simple task tracking of daily meditation to more complex tasks like 3x a week business actions where I log time spent on these actions and notes too!) I've already recommended it.",using the free version and it s easy intuitive and highly flexible it reflects just what i want to track for five different tasks each week from simple task tracking of daily meditation to more complex tasks like x a week business actions where i log time spent on these actions and notes too i ve already recommended it,Positive,5,Habit tracking
"Been using for a while now. Getting buggy, needs update",been using for a while now getting buggy needs update,Neutral,9,Sync & login issues
"The app is great, but is it possible to see the tasks from your Group?",the app is great but is it possible to see the tasks from your group,Positive,8,General task/app praise
"Actually wasn't a terrible replacement for Wunderlist until the last update. The one feature I used all the time was the ability to show completed items with un-completed and sort the whole list and then hide completed items again, leaving everything sorted. Now you can no longer merge the lists and sort. Why take something out that was actually useful? Now this app is virtually useless for me.",actually wasn t a terrible replacement for wunderlist until the last update the one feature i used all the time was the ability to show completed items with un completed and sort the whole list and then hide completed items again leaving everything sorted now you can no longer merge the lists and sort why take something out that was actually useful now this app is virtually useless for me,Negative,0,Task management
"This app is great for staying away from your phone when studying, sleeping, or simply relaxing. It is great for practicing mindfulness.",this app is great for staying away from your phone when studying sleeping or simply relaxing it is great for practicing mindfulness,Positive,8,General task/app praise
Very useful for university students,very useful for university students,Positive,3,Ease of use
"The notifications don't work, so doesn't actually help with my time keeping skills, actually missed a few things I needed to do today as I was relying on the notifications to remind  me.",the notifications don t work so doesn t actually help with my time keeping skills actually missed a few things i needed to do today as i was relying on the notifications to remind me,Negative,4,Reminders & notifications
"Bare Bones. Integrations are a lie. You have to use a third party app to make it work and Zapier is garbage. Grocery list is kind of cool. Calendar has that annoying Apple style slide that hides evens and is impossible to read instead of traditional blocks. Support button is for bug fixes only, so premium support is also a lie.",bare bones integrations are a lie you have to use a third party app to make it work and zapier is garbage grocery list is kind of cool calendar has that annoying apple style slide that hides evens and is impossible to read instead of traditional blocks support button is for bug fixes only so premium support is also a lie,Negative,10,Calendar integration
The ads are more disturbing than before,the ads are more disturbing than before,Negative,6,Ads friction
It helps me be more efficient!,it helps me be more efficient,Positive,5,Habit tracking
Makes me productive because I'm always up to a schedule,makes me productive because i m always up to a schedule,Positive,5,Habit tracking
"I would not recommend this app bc of an essential flaw in design - it doesn't allow you to just type in habit, instead it quizzes you. So, a simple act of just typing what you'd like to do turns into this crazy and overly complicated thing.",i would not recommend this app bc of an essential flaw in design it doesn t allow you to just type in habit instead it quizzes you so a simple act of just typing what you d like to do turns into this crazy and overly complicated thing,Negative,8,General task/app praise
"This an amazing calender, my only problem was I was looking for a calendar for solely for my business , because this app you must sync your calendar it becomes useless because now you have your personal calendar mix with business. Useless for that purpose I can just use my Google calendar.",this an amazing calender my only problem was i was looking for a calendar for solely for my business because this app you must sync your calendar it becomes useless because now you have your personal calendar mix with business useless for that purpose i can just use my google calendar,Negative,10,Calendar integration
Subscription required just to set a reminder.,subscription required just to set a reminder,Negative,4,Reminders & notifications
"Hi, I purchased the pro version of forest app on 22/10/20. Payment was successful and the amount of 180/- got debited from my account but then some error in the app happened. Now the option of purchase is being shown again and I haven't bee upgraded to the pro version yet. Kindly look into the matter and solve the issue.  This is the payment confirmation message that I received. Thx for INB txn of Rs.180 frm A/c X3312 to Times of M... Ref#IGAJRCOTV0 on 21Oct20. If not done,fwd this SMS to 922",hi i purchased the pro version of forest app on payment was successful and the amount of got debited from my account but then some error in the app happened now the option of purchase is being shown again and i haven t bee upgraded to the pro version yet kindly look into the matter and solve the issue this is the payment confirmation message that i received thx for inb txn of rs frm a c x to times of m ref igajrcotv on oct if not done fwd this sms to,Neutral,1,Premium / paywall friction
"I want dedicated column for week number in month view widget!!! Added after editors reply: I want week numbers in separate column, NOT IN SUNDAY COLUMN!!! And I do not understand why I have to get votes on forum to get updated feature, even if I paid for it.",i want dedicated column for week number in month view widget added after editors reply i want week numbers in separate column not in sunday column and i do not understand why i have to get votes on forum to get updated feature even if i paid for it,Negative,10,Calendar integration
"Added feature synchronizer Connect, added the note writing feature during the call, added a feature synchronized with the mail",added feature synchronizer connect added the note writing feature during the call added a feature synchronized with the mail,Neutral,9,Sync & login issues
"For $4.99 to $9.99, I'd like more widgets and customization. As it stands, the main widget, ""List"", is block white.",for to i d like more widgets and customization as it stands the main widget list is block white,Neutral,11,Widget issues
It is awsome if you know how to control it,it is awsome if you know how to control it,Neutral,3,Ease of use
Easy to navigate in order to keep track of tasks.,easy to navigate in order to keep track of tasks,Positive,0,Task management
"Good organizational app. Could use more tutorial guidance, but most things can be figured out. Would recommend.",good organizational app could use more tutorial guidance but most things can be figured out would recommend,Positive,8,General task/app praise
I tried out this app but decided not to go with it because it wasn't as intuitive as I like and might be missing some features. Imagine my annoyance to receive a reminder email this morning when I specifically turned off all notification settings. This app is probably great for people who like to be nagged. I don't. I like to be organized.,i tried out this app but decided not to go with it because it wasn t as intuitive as i like and might be missing some features imagine my annoyance to receive a reminder email this morning when i specifically turned off all notification settings this app is probably great for people who like to be nagged i don t i like to be organized,Negative,4,Reminders & notifications
No pomo time more than 1hr. No whitelist available. No feature for tracking task progress. Also add the feature to quit bad habits.,no pomo time more than hr no whitelist available no feature for tracking task progress also add the feature to quit bad habits,Negative,5,Habit tracking
Force closes when trying to create challenge,force closes when trying to create challenge,Neutral,9,Sync & login issues
Good reminders for habit formation,good reminders for habit formation,Positive,5,Habit tracking
the new update has removed the repeat task option I don't know where to find it,the new update has removed the repeat task option i don t know where to find it,Neutral,0,Task management
"Very nice app, has everything required for tracking habit. Please introduce option to change unlock pin.",very nice app has everything required for tracking habit please introduce option to change unlock pin,Positive,7,App stability & updates
"Looks really good, but unfortunately couldn't get to set a customized template...",looks really good but unfortunately couldn t get to set a customized template,Positive,3,Ease of use
Will anyone tell me how to use this app ?,will anyone tell me how to use this app,Negative,2,General positive
"They fixed the crashing issue. Awesome. My impression of the app was 5 stars after that. What brings me back though is the latest GUI change to the widget. 2 stars now. They took away the ability to easily select multiple tasks. I am considering switching task managers now. I do not see a way to restore the old functionality. Also I used to be able to launch ToDoist from the widget. That button is gone now too. I am a long time user. I've reached the """"enlightened"""" rating on the app. Boo...",they fixed the crashing issue awesome my impression of the app was stars after that what brings me back though is the latest gui change to the widget stars now they took away the ability to easily select multiple tasks i am considering switching task managers now i do not see a way to restore the old functionality also i used to be able to launch todoist from the widget that button is gone now too i am a long time user i ve reached the enlightened rating on the app boo,Negative,11,Widget issues
Great app. Makes doing hard and annoying tasks more fun.,great app makes doing hard and annoying tasks more fun,Positive,8,General task/app praise
This is my dream calendar app! It works perfectly with my Google calendar while also offering list making capabilities as well as meal planning! As a mom and business owner it gives me everything I need in a digital calendar!,this is my dream calendar app it works perfectly with my google calendar while also offering list making capabilities as well as meal planning as a mom and business owner it gives me everything i need in a digital calendar,Positive,10,Calendar integration
unable to login in all login options.. it says sign in failed check nw but nw is fine..am able to access internet..,unable to login in all login options it says sign in failed check nw but nw is fine am able to access internet,Negative,9,Sync & login issues
"Certain of the event doesn't show up in the clock, just recorded in my calender.",certain of the event doesn t show up in the clock just recorded in my calender,Negative,10,Calendar integration
"One of the most flexible productivity apps I have used. Works as a Habit tracker, daily reminder list, and a To-Do list, which is great if you want to have an overview of all these things inside a single app. Makes your tasks feel less overwhelming by keeping the theme light and fun. The devs add new content to it constantly and the community is able to create guilds and challenges, offering a more social experience than most other productivity apps.",one of the most flexible productivity apps i have used works as a habit tracker daily reminder list and a to do list which is great if you want to have an overview of all these things inside a single app makes your tasks feel less overwhelming by keeping the theme light and fun the devs add new content to it constantly and the community is able to create guilds and challenges offering a more social experience than most other productivity apps,Positive,8,General task/app praise
I would really like it if there was an option to have rewarding sounds when completing checklist items in Dailies and To Do's. Thanks to the amazing team at Habitica. You rock :),i would really like it if there was an option to have rewarding sounds when completing checklist items in dailies and to do s thanks to the amazing team at habitica you rock,Positive,5,Habit tracking
"This app helps me stay sane while working from home, juggling errands and work. It frees my mind from trying to remember what I need to do and focus on the task at hand. However, I'm experiencing occasional issues when using the pomo timer.",this app helps me stay sane while working from home juggling errands and work it frees my mind from trying to remember what i need to do and focus on the task at hand however i m experiencing occasional issues when using the pomo timer,Positive,5,Habit tracking
I set reminder for a particular time but it reminds me at some different time than the one I set and my phone always connected to internet. I wish this issue could be sorted out.,i set reminder for a particular time but it reminds me at some different time than the one i set and my phone always connected to internet i wish this issue could be sorted out,Neutral,4,Reminders & notifications
Why notifications are too short? I want to be able custmize my noti sounds!!!,why notifications are too short i want to be able custmize my noti sounds,Positive,4,Reminders & notifications
Was charged for the year instead of monthly,was charged for the year instead of monthly,Negative,1,Premium / paywall friction
Nice one but I can't amend schedule days after habit saved.,nice one but i can t amend schedule days after habit saved,Neutral,5,Habit tracking
"Good app with good widgets one star deducted as I can't work out how to view completed tasks, dailies and habits",good app with good widgets one star deducted as i can t work out how to view completed tasks dailies and habits,Positive,8,General task/app praise
Where can I turn off am-pm time format? Here where I live 24 hours format is used and all that am-pm stuff irritates too much. I haven't found this option in settings. In previous versions was 24 hours format.,where can i turn off am pm time format here where i live hours format is used and all that am pm stuff irritates too much i haven t found this option in settings in previous versions was hours format,Positive,10,Calendar integration
Good app to help u planning with fun,good app to help u planning with fun,Positive,2,General positive
"Only 9 lists allowed for the free edition. Incredibly expensive by app standards for the pro ($37 per year). I don't mind supporting a good product, but that is ridiculous for a shopping and task list app",only lists allowed for the free edition incredibly expensive by app standards for the pro per year i don t mind supporting a good product but that is ridiculous for a shopping and task list app,Negative,1,Premium / paywall friction
Love the app but notifications stopped working after couple of days and now I do not get reminder for anything on time.,love the app but notifications stopped working after couple of days and now i do not get reminder for anything on time,Positive,4,Reminders & notifications
This app is AMAZING. Never ever going to uninstall it from my phone. I only wish there was an affiliate program so I make money from my recommendations lol,this app is amazing never ever going to uninstall it from my phone i only wish there was an affiliate program so i make money from my recommendations lol,Positive,7,App stability & updates
Wish I could add more habits,wish i could add more habits,Positive,5,Habit tracking
Amazing and fantastic app❤️,amazing and fantastic app,Positive,2,General positive
"I normally don't review apps, but this one is amazing. This digital planner was exactly what I wanted. Give it a try, you won't regret it.",i normally don t review apps but this one is amazing this digital planner was exactly what i wanted give it a try you won t regret it,Positive,8,General task/app praise
"Keeps asking for a rating. OK, here's one.",keeps asking for a rating ok here s one,Negative,3,Ease of use
"I like it a lot. But it doesn't have as much of the GAME aspect to it. I wish there was a feature where you character could actually play in an rpg game using the equipment and skills you earned. You could have a little rpg game on the side and has cute little morality stories. Without it, it doesn't really incentivize much.",i like it a lot but it doesn t have as much of the game aspect to it i wish there was a feature where you character could actually play in an rpg game using the equipment and skills you earned you could have a little rpg game on the side and has cute little morality stories without it it doesn t really incentivize much,Positive,3,Ease of use
"This is cool, I'm on my first day and just put in all my major daily goals like exercising and reading. You can customize the traits that are rewarded by each activity, as well as penalties for failure. You can even link customizable titles to your level progression (my personal goal: Archwizard of the Order of Ptolemy). Very few features are locked behind the paywall, and everything that is essential is free.",this is cool i m on my first day and just put in all my major daily goals like exercising and reading you can customize the traits that are rewarded by each activity as well as penalties for failure you can even link customizable titles to your level progression my personal goal archwizard of the order of ptolemy very few features are locked behind the paywall and everything that is essential is free,Positive,5,Habit tracking
"I hate the fact that not all the trees are of the free version. Not even a few new releases are in the free version. Please release a few trees for the free version also! Otherwise, it is an amazing app!",i hate the fact that not all the trees are of the free version not even a few new releases are in the free version please release a few trees for the free version also otherwise it is an amazing app,Neutral,7,App stability & updates
"This app is great! I have ADHD and also have had a lot of trouble finding an app that works, but I really love this one. :)",this app is great i have adhd and also have had a lot of trouble finding an app that works but i really love this one,Positive,2,General positive
Really? Dark mode behind a pay wall?,really dark mode behind a pay wall,Negative,3,Ease of use
"I love it :D I met great and fun people and this is the only to-do apps that really makes me do it or else I'll die oof. I love the concept and all but i kinda wish that there'll be more default costumes like the hair that is free, or some that can be bought by coins if possible. And maybe the background too? Anyways overall I love it, it was really effective for me. Keep up the good work, I'll look forward on it",i love it d i met great and fun people and this is the only to do apps that really makes me do it or else i ll die oof i love the concept and all but i kinda wish that there ll be more default costumes like the hair that is free or some that can be bought by coins if possible and maybe the background too anyways overall i love it it was really effective for me keep up the good work i ll look forward on it,Positive,8,General task/app praise
This app doesn't have a background music which makes it not like a game at all. No music doesn't make me interested at all. Put like a doom soundtrack or at least something :(,this app doesn t have a background music which makes it not like a game at all no music doesn t make me interested at all put like a doom soundtrack or at least something,Negative,7,App stability & updates
"It does what I need when I need it and it provides me with in information I require to be more efficient. Plus it is linked to Alexa so it it easy to add tasks or even groceries to my lust. It's a win, win!",it does what i need when i need it and it provides me with in information i require to be more efficient plus it is linked to alexa so it it easy to add tasks or even groceries to my lust it s a win win,Positive,8,General task/app praise
"I have only been using this app for about six days, however I'm really enjoying it. I like that you can mess with the color scheme and the encouraging quotes. It's also affordable if you are more than five habits. One thing I think that would be absolutely amazing to have on here is a spot for goals and some kind of daily journal write. Aside from that I love it so. 🤗🤗 If it had a spot for journal writings and goals it would definitely be five ⭐⭐⭐⭐⭐",i have only been using this app for about six days however i m really enjoying it i like that you can mess with the color scheme and the encouraging quotes it s also affordable if you are more than five habits one thing i think that would be absolutely amazing to have on here is a spot for goals and some kind of daily journal write aside from that i love it so if it had a spot for journal writings and goals it would definitely be five,Positive,8,General task/app praise
"ótimo o app, porém ele é meio que um relógio de estudo que marcar cada segundo",timo o app por m ele meio que um rel gio de estudo que marcar cada segundo,Positive,3,Ease of use
Useful to make qiuck notes about daily activities.,useful to make qiuck notes about daily activities,Positive,5,Habit tracking
Fairly easy to use. Very useful for shopping lists and to do lists,fairly easy to use very useful for shopping lists and to do lists,Positive,3,Ease of use
"Please keep tinkering, and improving. Thank you for this app",please keep tinkering and improving thank you for this app,Positive,7,App stability & updates
Log in required,log in required,Negative,9,Sync & login issues
Amazing! This app has had a really large positive impact on my life (in just a few short months). Would definitely reccommend ^-^,amazing this app has had a really large positive impact on my life in just a few short months would definitely reccommend,Positive,2,General positive
